compoud name,CID,molecular formula,molecular weight,Canonical SMILES,SMILES
,,,,,C#Cc1cc(C)cc(Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)c1
,,,,,CN(C)c1ccc(-c2ccc(-c3ccc4c(c3)S(=O)(=O)c3ccccc3-4)cc2)cc1
,,,,,c1ccc(-c2nc3ccc(-c4c5ncoc5cc5ncoc45)cc3o2)cc1
,,,,,CN(C)c1ccc(-c2ccc(P(=O)(c3ccccc3)c3cccc(-c4cc5ccccc5c5ccccc45)c3)cc2)cc1
,,,,,Cc1cc(-c2ccc3c(c2)Sc2ccccc2N3c2ccc(N(C)C)cc2)cc(C)c1-c1cc2sccc2s1
,,,,,CN(C)c1cc(P(c2ccccc2)c2ccccc2)c2cccc(-c3ccc(C=C(C#N)C#N)s3)c2c1
,,,,,Clc1ccc2c(c1)c1cc(Cl)ccc1n2-c1cccc2c1[nH]c1ccccc12
,,,,,COc1cc(OC)cc(-c2cc(P(c3ccccc3)c3ccccc3)ccc2C(=O)C(F)(F)F)c1
,,,,,CN(C)c1ccc(-c2cc3c(cc2N(C)C)sc2ccccc23)cc1
,,,,,N#CC(C#N)=C1C(=Cc2ccc(-c3ccc4c(n3)sc3ccccc34)cc2)C(=O)c2ccccc21
,,,,,CNCN(C)c1ccccc1-n1c2ccccc2c2cccnc21
,,,,,Cc1cccc(C)c1B1c2ccccc2B(c2c(C)cc(Oc3ccc(N(C)C)cc3)cc2C)c2ccccc21
,,,,,N#Cc1cc(C#N)c(-c2ccccc2Pc2ccc(N3c4ccccc4Sc4ccccc43)cc2)c(C#N)c1
,,,,,O=C1C(=O)c2c(-c3ccc4oc(-c5ccccc5)nc4c3)ccc3cccc1c23
,,,,,Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cncc3cc[nH]c23)c(C)c1
,,,,,CN(C)c1cccc2cc(-c3c4ncoc4cc4ncoc34)ccc12
,,,,,CN(C)c1ccc(-c2nc(-c3ccccc3)oc2-c2c3ncsc3cc3ncsc23)cc1
,,,,,CC(=O)c1ccc(-c2ccc3cc(N(C)C)cc(Sc4ccc(N(C)C)cc4)c3c2)cc1
,,,,,CN(C)c1ccc(N2c3ccccc3N(c3cccc(-c4cc(N(C)C)cc5ccccc45)c3)c3ccccc32)cc1
,,,,,N#Cc1cc(C#N)c(N2C(=O)C=CC2=O)c(C#N)c1
,,,,,COc1cc(OCc2ccc(-n3c4ccccc4c4ccccc43)cc2)cc(-c2ccc(N(C)C)cc2)c1
,,,,,CN(C)c1ccc(-c2ccc3c(c2)sc2nc(-n4c5ccccc5c5ccccc54)ccc23)cc1
"5-(4-carbazol-9-ylphenyl)-2-phenyl-1,3-benzoxazole",126702333.0,C31H20N2O,436.5,C1=CC=C(C=C1)C2=NC3=C(O2)C=CC(=C3)C4=CC=C(C=C4)N5C6=CC=CC=C6C7=CC=CC=C75,c1ccc(-c2nc3cc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)ccc3o2)cc1
,,,,,CN(C)c1ccc(-c2ncc(-c3cnccc3-n3c4ccccc4c4cccnc43)cc2-c2cc(C=O)ccc2C=O)cc1
,,,,,Cc1cccc2c3cccc(C)c3n(-c3ccc(C=O)c(-c4ccc(N(C)C)cc4)c3)c12
,,,,,Cc1cccc(C)c1B1c2ccccc2B(c2c(C)cc(N3c4ccccc4Oc4ccccc43)cc2C)c2ccccc21
,,,,,Cn1cnc2ccc(-c3ccc4c(c3)Nc3ccccc3C4(C)Cn3c4ccc(Cl)cc4c4cc(Cl)ccc43)cc21
,,,,,C=CCC1(C)c2ccccc2Nc2ccccc21
,,,,,O=c1c(-c2cc3c(cn2)-c2cnccc2[SiH2]3)c[nH]c2ccccc12
,,,,,N#CC(C#N)=C1c2ccccc2C(=O)c2cc(-c3ccccc3-n3c4ccc(F)cc4c4cc(F)ccc43)ccc21
,,,,,CN(C)c1ccc(N(C)Cc2ccc(C(=O)C(F)(F)F)cc2N(c2ccccc2)c2ccccc2)cc1-c1ccc(C(=O)C(F)(F)F)cc1
,,,,,c1ccc2c(c1)oc1cc(-c3ccc(N4CCOCC4)cc3)ccc12
,,,,,CN(C)c1ccc(-c2ncoc2-c2ccc(N(C)C)c3ccccc23)cc1
