source,AI,AI2,Human,Random
target,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl
run0,0.7061530351638794,0.6957930326461792,0.5186869502067566,0.738847017288208
run1,0.666243314743042,0.6259874701499939,0.6976221799850464,0.6772831678390503
run2,0.43139082193374634,0.5689866542816162,0.5570877194404602,0.5907270908355713
run3,0.7407404780387878,0.6700507998466492,0.7367843389511108,0.7773428559303284
run4,0.8195605874061584,0.7646374106407166,0.7565704584121704,0.79280024766922
run5,0.7470492124557495,0.6768418550491333,0.7340148687362671,0.699210524559021
run6,0.6787620186805725,0.618044912815094,0.7686781883239746,0.6670215129852295
run7,0.6996054649353027,0.7218592166900635,0.7689734101295471,0.7041813135147095
run8,0.4246176481246948,0.39749741554260254,0.2910521626472473,0.44632261991500854
run9,0.5892442464828491,0.6169371008872986,0.5494498014450073,0.4993027448654175
r2_test_mean,0.6503366827964783,0.6356635868549347,0.6378920078277588,0.6593039095401764
r2_test_max,0.8195605874061584,0.7646374106407166,0.7689734101295471,0.79280024766922
r2_test_min,0.4246176481246948,0.39749741554260254,0.2910521626472473,0.44632261991500854
r2_test_std,0.12465369894252085,0.09616718720314192,0.14826260672886793,0.10850580080436609
