source,AI,AI2,Human,Random
target,Yield_CO_l,Yield_CO_l,Yield_CO_l,Yield_CO_l
run0,16.692977905273438,19.028207778930664,16.90359878540039,18.192251205444336
run1,17.63346290588379,18.83043670654297,17.366256713867188,22.082721710205078
run2,16.254119873046875,18.712688446044922,13.194418907165527,15.54960823059082
run3,15.352705955505371,17.16520881652832,19.826637268066406,15.804122924804688
run4,13.082523345947266,15.209668159484863,19.6573543548584,16.25261878967285
run5,15.649993896484375,17.845212936401367,16.26540756225586,16.836198806762695
run6,15.091059684753418,16.51822280883789,15.415771484375,16.994199752807617
run7,18.36979103088379,16.70002555847168,14.308412551879883,16.84540367126465
run8,19.134571075439453,19.475685119628906,18.91316795349121,18.710893630981445
run9,16.21135139465332,16.433988571166992,18.6072998046875,19.492435455322266
rmse_test_mean,16.34725570678711,17.591934204101562,17.04583168029785,17.676044464111328
rmse_test_max,19.134571075439453,19.475685119628906,19.826637268066406,22.082721710205078
rmse_test_min,13.082523345947266,15.209668159484863,13.194418907165527,15.54960823059082
rmse_test_std,1.654466152191162,1.3271024227142334,2.149278163909912,1.8965137004852295
