source,aats8p,aatsc3d,abcgg,atsc3d,atsc4i,bcutp1l,bertzct,estatevsa3,frnh0,ggi10,kappa2,kappa3,kier2,kier3,peoevsa6,vsaestate3
target,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl,Yield_CO_cl
run0,0.5598656535148621,0.6054060459136963,0.7109509706497192,0.639530599117279,0.6550742387771606,0.5081897974014282,0.7372605800628662,0.3099883198738098,0.5716637372970581,0.643384575843811,0.5850105285644531,0.6841412782669067,0.6557003259658813,0.6013463139533997,0.6713523864746094,0.5543039441108704
run1,0.6318374872207642,0.42654430866241455,0.7534079551696777,0.4152759313583374,0.5836741924285889,0.16432583332061768,0.8153228759765625,0.6180526614189148,0.628997802734375,0.5876758098602295,0.7114718556404114,0.6438121795654297,0.6533494591712952,0.7425159215927124,0.43215280771255493,0.6085910797119141
run2,0.48109644651412964,0.6713957786560059,0.5116747617721558,0.6841559410095215,0.6080399751663208,0.45077818632125854,0.7588351368904114,0.3814915418624878,0.5058535933494568,0.7167143821716309,0.5161956548690796,0.40683943033218384,0.6150710582733154,0.565192461013794,0.6492322683334351,0.3943246006965637
run3,0.7728098630905151,0.7268867492675781,0.7739492654800415,0.759877622127533,0.7622332572937012,0.21423524618148804,0.7909914255142212,0.6949135065078735,0.7392764091491699,0.7717874050140381,0.7428833246231079,0.7160944938659668,0.7487776279449463,0.7428110837936401,0.69148850440979,0.6296530365943909
run4,0.7709660530090332,0.6996581554412842,0.7870688438415527,0.7194466590881348,0.8013964891433716,0.449829638004303,0.8496804237365723,0.7058919072151184,0.8018378615379333,0.773237943649292,0.7421079277992249,0.750447690486908,0.7568889856338501,0.7815759181976318,0.6696388721466064,0.6314043402671814
run5,0.7077136039733887,0.6094040870666504,0.7640323638916016,0.6412438154220581,0.6180799007415771,0.5734677314758301,0.7761499881744385,0.6888421773910522,0.7956907153129578,0.6922169923782349,0.7257134914398193,0.6682513356208801,0.6918414831161499,0.6886966228485107,0.649799108505249,0.6369178295135498
run6,0.7537152171134949,0.668620228767395,0.7977390289306641,0.6555445194244385,0.6684224605560303,0.37540334463119507,0.7965940833091736,0.7256697416305542,0.6983377933502197,0.6463086605072021,0.7321243286132812,0.6681903600692749,0.7173711657524109,0.7342729568481445,0.546414852142334,0.6290503740310669
run7,0.6853914260864258,0.6758237481117249,0.681671142578125,0.7305448055267334,0.7043218016624451,0.4718392491340637,0.7519670128822327,0.6058216094970703,0.6787480115890503,0.6487364768981934,0.7563440799713135,0.6684010028839111,0.6844268441200256,0.6749356985092163,0.695526123046875,0.6589392423629761
run8,0.5443158745765686,0.5207294225692749,0.5298646688461304,0.38015854358673096,0.4443209171295166,0.10869753360748291,0.6540971398353577,0.5276345014572144,0.4992257356643677,0.44238418340682983,0.45631396770477295,0.5482971668243408,0.47896498441696167,0.45949119329452515,0.4198024868965149,0.45148611068725586
run9,0.6695269346237183,0.6162338256835938,0.678521990776062,0.6185393333435059,0.6761291027069092,0.3030779957771301,0.7329497337341309,0.5959728956222534,0.6488674879074097,0.6831519603729248,0.6606203317642212,0.5259280204772949,0.6792935729026794,0.6280338168144226,0.53426593542099,0.575546383857727
r2_test_mean,0.65772385597229,0.6220702350139617,0.698888099193573,0.6244317770004273,0.6521692335605621,0.36198445558547976,0.7663848400115967,0.5854278862476349,0.6568499147891999,0.6605598390102386,0.6628785490989685,0.6280402958393096,0.6681685507297516,0.6618871986865997,0.5959673345088958,0.5770216941833496
r2_test_max,0.7728098630905151,0.7268867492675781,0.7977390289306641,0.759877622127533,0.8013964891433716,0.5734677314758301,0.8496804237365723,0.7256697416305542,0.8018378615379333,0.773237943649292,0.7563440799713135,0.750447690486908,0.7568889856338501,0.7815759181976318,0.695526123046875,0.6589392423629761
r2_test_min,0.48109644651412964,0.42654430866241455,0.5116747617721558,0.38015854358673096,0.4443209171295166,0.10869753360748291,0.6540971398353577,0.3099883198738098,0.4992257356643677,0.44238418340682983,0.45631396770477295,0.40683943033218384,0.47896498441696167,0.45949119329452515,0.4198024868965149,0.3943246006965637
r2_test_std,0.09643217903596474,0.08571363760775667,0.09740235479153887,0.12129685832583884,0.09431405124512064,0.1491554285251524,0.05077997085279883,0.13388409716689142,0.10248638218299393,0.09126029518754884,0.10137638153485752,0.09833963237529181,0.07531994257049647,0.09414299111105293,0.10000671214522874,0.08329757208755047
