source,aats8p,aatsc3d,abcgg,atsc3d,atsc4i,bcutp1l,bertzct,estatevsa3,frnh0,ggi10,kappa2,kappa3,kier2,kier3,peoevsa6,vsaestate3
target,Yield_CO_s,Yield_CO_s,Yield_CO_s,Yield_CO_s,Yield_CO_s,Yield_CO_s,Yield_CO_s,Yield_CO_s,Yield_CO_s,Yield_CO_s,Yield_CO_s,Yield_CO_s,Yield_CO_s,Yield_CO_s,Yield_CO_s,Yield_CO_s
run0,0.7378833889961243,0.8245733380317688,0.766486406326294,0.6541396975517273,0.6483542919158936,0.6668782234191895,0.8128708600997925,0.7085391283035278,0.780604362487793,0.7428816556930542,0.7900219559669495,0.7490741014480591,0.7842508554458618,0.7459031343460083,0.6729419827461243,0.6560784578323364
run1,0.6444028615951538,0.42252981662750244,0.6778048276901245,0.6367591023445129,0.5708335041999817,0.3805375099182129,0.752106785774231,0.519363284111023,0.6610276699066162,0.495514452457428,0.6355218887329102,0.7303940057754517,0.6617200374603271,0.5911237597465515,0.5779492855072021,0.1839779019355774
run2,0.4451684355735779,0.6975231170654297,0.6301268339157104,0.5750975012779236,0.6506160497665405,0.5447553396224976,0.7228491306304932,0.6048547029495239,0.4745606780052185,0.5105398893356323,0.6150295734405518,0.5036813020706177,0.6700352430343628,0.6058242321014404,0.4714404344558716,0.5096253156661987
run3,0.8746888041496277,0.8429259061813354,0.9060723781585693,0.8835176825523376,0.784121036529541,0.44576776027679443,0.9164022207260132,0.7493411302566528,0.9069636464118958,0.9011882543563843,0.9090071320533752,0.8880235552787781,0.896390974521637,0.8922038078308105,0.8779248595237732,0.8376917243003845
run4,0.5652401447296143,0.5328521728515625,0.70516037940979,0.6333928108215332,0.5865764021873474,0.38065385818481445,0.7301772236824036,0.5859774947166443,0.7155516147613525,0.4729330539703369,0.6876330375671387,0.6932218074798584,0.7292772531509399,0.7459678053855896,0.6278972029685974,0.5159969329833984
run5,0.7186331748962402,0.721735954284668,0.8099331855773926,0.7415820360183716,0.6647922992706299,0.6907327175140381,0.8252055644989014,0.7187236547470093,0.7783864736557007,0.7610446214675903,0.7551074624061584,0.7700865268707275,0.787243664264679,0.7978057265281677,0.6744492650032043,0.6684389114379883
run6,0.7393721342086792,0.6485393047332764,0.7270151376724243,0.6405858993530273,0.6929640769958496,0.4173434376716614,0.773809552192688,0.7152196168899536,0.7034009695053101,0.6963580846786499,0.7800720930099487,0.8359874486923218,0.7660053372383118,0.8009344935417175,0.7054034471511841,0.6185901165008545
run7,0.8083677887916565,0.6755491495132446,0.7731564044952393,0.7361432313919067,0.7253984212875366,0.6862314939498901,0.8066709041595459,0.7375500202178955,0.746487021446228,0.7548520565032959,0.7345999479293823,0.7985334396362305,0.7786009311676025,0.8047204613685608,0.7299476861953735,0.6569165587425232
run8,0.8190293312072754,0.7502285242080688,0.7797108888626099,0.7728238105773926,0.7604422569274902,0.5822566151618958,0.8278013467788696,0.7563307285308838,0.8001675009727478,0.7682088613510132,0.8028717041015625,0.8287333846092224,0.7773431539535522,0.7880827188491821,0.7959142923355103,0.6470605134963989
run9,0.627748966217041,0.5792410373687744,0.7594285011291504,0.7482384443283081,0.6755406260490417,0.3138476014137268,0.829590380191803,0.47347623109817505,0.5127251148223877,0.7420462369918823,0.687594473361969,0.6794689893722534,0.6571652889251709,0.6932675838470459,0.7242175340652466,0.40013593435287476
r2_test_mean,0.698053503036499,0.6695698320865631,0.7534894943237305,0.7022280216217041,0.6759638965129853,0.5109004557132721,0.7997483968734741,0.6569375991821289,0.7079875051975251,0.6845567166805268,0.7397459268569946,0.747720456123352,0.7508032739162445,0.7465833723545074,0.6858085989952087,0.5694512367248535
r2_test_max,0.8746888041496277,0.8429259061813354,0.9060723781585693,0.8835176825523376,0.784121036529541,0.6907327175140381,0.9164022207260132,0.7563307285308838,0.9069636464118958,0.9011882543563843,0.9090071320533752,0.8880235552787781,0.896390974521637,0.8922038078308105,0.8779248595237732,0.8376917243003845
r2_test_min,0.4451684355735779,0.42252981662750244,0.6301268339157104,0.5750975012779236,0.5708335041999817,0.3138476014137268,0.7228491306304932,0.47347623109817505,0.4745606780052185,0.4729330539703369,0.6150295734405518,0.5036813020706177,0.6571652889251709,0.5911237597465515,0.4714404344558716,0.1839779019355774
r2_test_std,0.12293614559961641,0.12346851598664019,0.07192292874128499,0.08600262697668244,0.06491505955033976,0.13395193871652544,0.05463515917185786,0.09753231641476763,0.12437807475979602,0.1350437940177255,0.08300777207866784,0.10227747991202274,0.07002952139631771,0.08871834292626976,0.10680591753176608,0.17001107997094014
