target,Yield_CA,Yield_CN,Yield_CS
run0,26.680410385131836,33.240684509277344,33.830963134765625
run1,22.964797973632812,35.574562072753906,32.24869918823242
run2,23.752851486206055,44.10189437866211,40.63502883911133
run3,21.818130493164062,35.44367980957031,32.445613861083984
run4,21.392925262451172,39.60272979736328,39.31129455566406
run5,21.233348846435547,42.712860107421875,43.321327209472656
run6,22.938907623291016,37.02156448364258,37.933982849121094
run7,23.306135177612305,42.097129821777344,32.72187805175781
run8,27.109731674194336,38.811012268066406,35.29104232788086
run9,23.959360122680664,35.64468002319336,36.89181137084961
rmse_test_mean,23.515659904479982,38.42507972717285,36.46316413879394
rmse_test_max,27.109731674194336,44.10189437866211,43.321327209472656
rmse_test_min,21.233348846435547,33.240684509277344,32.24869918823242
rmse_test_std,1.9095201523163572,3.452878051462575,3.6207699054923195
