SMILES,made_by
Cn1cccc1-c1cccc2c1Nc1ccccc1O2,F
CN(Cc1ccc(P(=O)(c2ccccc2)c2cc(-c3ccc4ncoc4c3)cc(-c3ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s3)c2)cc1)c1ccccc1,F
CC1(C)c2ccccc2Nc2c(-c3ccc(C(=C4C(=O)c5ccccc5C4=C(C#N)C#N)c4ccc5c(c4)C(=O)NC5=O)s3)cccc21,F
N#Cc1cc(C#N)c(-c2ncsc2C#Cc2c(F)c(F)cc(F)c2F)c(C#N)c1,F
C#CC1NC(C(=C)c2cc(C#N)c(C#N)c(C#N)c2)COC1n1c2ccccc2c2cccnc21,F
Cc1cccc(C)c1B1c2ccccc2B(c2c(C)cc(Cn3cccc3-c3cc4cnccc4n3C3=CC(=O)NC3=O)cc2C)c2ccccc21,F
Cn1cnc2ccc(-c3cccc(-c4ccc5c(c4)sc4ncccc45)c3N3CCOCC3)cc21,F
O=C1C=CC(=O)c2c1cccc2-c1ccccc1,F
CN(C)c1ccc(-c2ncoc2-c2ccc(C=O)cc2)cc1,F
CN(C)c1ccc(S(c2ccc(N(C)C)cc2)(c2ccc(N(C)C)cc2)c2cc3sccc3s2)cc1,F
C1=C[SH](c2c3ncoc3cc3ncoc23)c2c(-c3ccc4c(c3)[SH](N3c5ccccc5Sc5ccccc53)C=N4)csc21,F
c1ccc(N2CCOC(c3ccc(N4CCOCC4)cc3)C2)cc1,F
c1ccc(-n2c3ccccc3c3cc(-c4c5ncoc5cc5ncoc45)ccc32)cc1,F
Cc1ccc2c(c1)c1cc(C)ccc1n2-c1c(-c2cnoc2)ccn1C,F
CN(C)c1ccc(Sc2c(F)c(F)c(-c3c4ncoc4cc4ncoc34)c(F)c2F)cc1N1c2ccccc2C(C)(C)c2ccccc21,F
c1cc(-n2c3ccccc3c3cccnc32)c2ocnc2c1,F
O=c1c2ccccc2[nH]c2cccc(-c3cocn3)c12,F
O=S1(=O)c2ccccc2-c2ccc(-c3ccc(C4=CC=C[SH]4c4c(F)c(F)cc(F)c4F)s3)cc21,F
Cc1ccc(N(C(=C2C(=O)c3ccccc3C2=C(C#N)C#N)c2sccc2-c2ccc(-c3ccc4c(c3)sc3ncccc34)o2)c2ccc(C)cc2)cc1,F
CN(C)c1ccc(-c2ccc(N3CCOC(c4cc(C=O)ccc4C=O)C3)cc2)cc1,F
N#Cc1cc(-c2ccc3ocnc3c2)cc(C#N)c1C#N,F
Cc1cccc2c3cccc(C)c3n(C3=C(c4cc(F)ccc4Nc4ccc(F)cc4)C(=O)N(C4c5ccccc5-c5ccccc54)C3=O)c12,F
Cc1ccc2c(c1)c1cc(C)ccc1n2-c1ccsc1-c1ccc(N2c3ccccc3Oc3c2ccc(-c2ccc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)s2)c3-c2cocn2)s1,F
C=C(c1ccc(N(C)C)cc1-c1cnc2c(ccc3cccnc32)c1)c1cccn1C,F
Cc1cc(C)c(Bc2c(C)cc(Cc3cnoc3)cc2C)c(C)c1,F
Cc1cc(C)c(Bc2c(CB(c3c(C)cc(C)cc3C)c3c(C)cc(C)c(-c4ccc5c(c4)C(=O)c4ccccc4C5=C(C#N)C#N)c3C)cc(C)cc2CN(C)C)c(C)c1,F
Cc1ccc(N(c2ccc(N(C)CN(c3ccc(F)cc3)c3ccc(F)cc3)cc2)c2ccc(C)c(-n3c4ccccc4c4cnccc43)c2)cc1,F
Cc1ccc2c(c1)c1cc(C)ccc1n2-c1ccc2c(c1-c1ccco1)C(C)(C)c1ccccc1N2c1ccc(N(C)C)cc1,F
